,2025-04-08 05:00:00,2025-04-08 05:10:00,2025-04-08 05:20:00,2025-04-08 05:30:00,2025-04-08 05:40:00,2025-04-08 05:50:00,2025-04-08 06:00:00,2025-04-08 06:10:00,2025-04-08 06:20:00,2025-04-08 06:30:00,2025-04-08 06:40:00,2025-04-08 06:50:00,2025-04-08 07:00:00,2025-04-08 07:10:00,2025-04-08 07:20:00,2025-04-08 07:30:00,2025-04-08 07:40:00,2025-04-08 07:50:00,2025-04-08 08:00:00,2025-04-08 08:10:00,2025-04-08 08:20:00,2025-04-08 08:30:00,2025-04-08 08:40:00,2025-04-08 08:50:00,2025-04-08 09:00:00,2025-04-08 09:10:00,2025-04-08 09:20:00,2025-04-08 09:30:00,2025-04-08 09:40:00,2025-04-08 09:50:00,2025-04-08 10:00:00,2025-04-08 10:10:00,2025-04-08 10:20:00,2025-04-08 10:30:00,2025-04-08 10:40:00,2025-04-08 10:50:00,2025-04-08 11:00:00,2025-04-08 11:10:00,2025-04-08 11:20:00,2025-04-08 11:30:00,2025-04-08 11:40:00,2025-04-08 11:50:00,2025-04-08 12:00:00,2025-04-08 12:10:00,2025-04-08 12:20:00,2025-04-08 12:30:00,2025-04-08 12:40:00,2025-04-08 12:50:00,2025-04-08 13:00:00,2025-04-08 13:10:00,2025-04-08 13:20:00,2025-04-08 13:30:00,2025-04-08 13:40:00,2025-04-08 13:50:00,2025-04-08 14:00:00,2025-04-08 14:10:00,2025-04-08 14:20:00,2025-04-08 14:30:00,2025-04-08 14:40:00,2025-04-08 14:50:00,2025-04-08 15:00:00,2025-04-08 15:10:00,2025-04-08 15:20:00,2025-04-08 15:30:00,2025-04-08 15:40:00,2025-04-08 15:50:00,2025-04-08 16:00:00,2025-04-08 16:10:00,2025-04-08 16:20:00,2025-04-08 16:30:00,2025-04-08 16:40:00,2025-04-08 16:50:00,2025-04-08 17:00:00,2025-04-08 17:10:00,2025-04-08 17:20:00,2025-04-08 17:30:00,2025-04-08 17:40:00,2025-04-08 17:50:00,2025-04-08 18:00:00,2025-04-08 18:10:00,2025-04-08 18:20:00,2025-04-08 18:30:00,2025-04-08 18:40:00,2025-04-08 18:50:00,2025-04-08 19:00:00,2025-04-08 19:10:00,2025-04-08 19:20:00,2025-04-08 19:30:00,2025-04-08 19:40:00,2025-04-08 19:50:00,2025-04-08 20:00:00,2025-04-08 20:10:00,2025-04-08 20:20:00,2025-04-08 20:30:00,2025-04-08 20:40:00,2025-04-08 20:50:00
SANTANDER_sentido_1,22,23,24,25,26,26,27,28,28,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,31,31,30,30,29,28,27,27,26,25,24,23,22,21,21,19,18,17,17,16,16
SANTANDER_sentido_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS VIVAS_sentido_1,2,2,2,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
AGUAS VIVAS_sentido_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRADERA 27_sentido_1,37,38,39,40,42,43,44,45,46,47,47,48,49,50,50,50,51,51,51,51,51,50,50,50,50,49,49,49,49,48,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,46,46,45,44,43,42,41,40,39,37,36,35,34,33,31,30,29,28,28,27
PRADERA 27_sentido_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MOGAMBO 22_sentido_1,20,21,22,23,24,25,26,27,28,28,29,30,31,31,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,30,30,30,30,30,29,29,30,29,29,28,28,27,26,25,25,24,23,22,21,20,18,17,16,15,14,13,12,12,11,11
MOGAMBO 22_sentido_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Especial_sentido_1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
Especial_sentido_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
